disneylatino.com,245416,296739,274598,355196,304118,312367,315577,314363,318007,257856,323360,274920,242753,287583,34430,50037,305247,312247,280507,317094,321409,282225,283141,
bohelady.com,184209,55862,58966,50506,50760,103691,139341,85405,92696,36287,78421,71491,128697,46403,50013,43102,189392,214399,54526,68463,106328,59788,48211,
bitauto.com,4953990,4101667,6427290,6380165,38089417,7382781,6473508,6922765,6450915,6501581,5688498,12023797,6015859,4860741,5297058,49504,5725248,6682901,5843653,5137484,5068396,6141622,6944972,
ledu.com,3576183,6219509,3452203,3223999,3852327,4152354,3296078,4005154,5040546,3709838,3407417,3407156,3429097,3658903,47844,54560,3416907,5225387,3430728,3534905,3820643,6643997,6706624,
coupons.com,1132062,1328189,1088067,2025055,1175980,1159486,1281521,1256172,1129470,1173829,1136209,1076421,1135130,1097466,51185,47142,2092973,1124887,1178479,2196460,1161526,2149272,1160406,
liveinternet.ru,1443339,1298669,1524049,1978154,1296423,2020290,1251450,2651192,1857167,1888985,1692555,1696607,1800835,3528752,40356,56028,17753351,2529931,1822434,1525753,1689571,1675573,1941212,
microsofttranslator.com,177347,230602,196411,157746,151035,240373,139713,207342,161414,160855,228774,266278,151145,156247,161920,62304,178085,160230,171373,254015,305715,167306,276990,
webex.com,1600861,1473892,1081199,1064570,1885079,1599023,1445266,1692632,1095824,1212772,1751052,1502914,1493300,1151684,43235,40727,1474994,1306102,1432647,1574175,1361038,1295778,1708452,
marca.com,1895887,2057479,1801335,2269752,2523637,2870940,1890309,1717872,2115736,1999601,1827272,1898775,2172428,1949477,57315,64566,1925002,4844154,2348329,2060623,1915581,1798712,1869180,
netflix.com,851591,790469,744442,646159,866751,720341,836214,914454,707005,697420,766781,675460,727856,2057935,1792427,42299,771502,681158,638167,762744,951295,689173,704410,
orkut.com.br,760658,665882,723189,751851,657099,653413,1091909,684683,787090,580028,691707,601986,669107,1155643,650442,45328,651698,1590105,705744,707089,657605,654100,690396,
speedtest.net,3516230,638957,493403,591119,530401,691692,556954,512265,547133,5721632,520924,654469,548016,486979,45684,54141,533575,501153,519837,608743,509564,525042,482063,
baomihua.com,2389701,2705476,2408617,2564973,2598770,2549357,2603172,2806600,2397230,2377459,2361792,2571633,2582581,2299408,2358217,54249,2413189,2725428,2591167,2631830,2636151,2553122,3385028,
jiuwan.com,305584060,305545133,305541096,305511500,305777615,305514703,305566890,310344546,305515074,305364779,305594123,305516721,305511594,305572888,47424,40016,305500810,305507065,305539739,305559093,305638680,305653988,305541679,
gmx.net,947668,864458,744883,994975,878563,798108,953967,999508,923334,1040350,768081,1100770,1006468,869751,726105,47218,1028194,837398,720846,907278,819660,853268,829307,
gametop.com,393069,420854,393868,371852,361207,430340,481507,479812,364275,381027,440451,381864,447109,470712,36001,43036,411695,400204,402078,544207,422876,427095,471918,
pchome.com.tw,9117914,9520392,8818286,8611966,8780777,19683691,8654946,8873785,9018899,9140112,8815355,9447240,15844378,9584916,51202,41640,8962731,15303311,11091450,8562203,8900730,9078768,9108248,
kaixin001.com,5671902,2398266,2198110,3116385,3153739,9984266,3154911,3960832,2424056,2495207,2433571,2372900,2398826,7965940,2393664,56259,2738685,2848404,2390646,2515723,2437753,2201190,3487461,
61.com,2498841,11054544,2813417,6122358,3062186,3335033,2735633,2907690,3045535,3281169,3873257,3643626,2307439,3086073,3542429,49141,3067008,3779312,2968734,2583063,4150374,3006340,3622738,
usaa.com,740173,650429,627164,586034,950788,681394,713447,686108,758849,613293,307491370,724454,776321,756672,103018,47525,668012,686893,701866,721115,636993,712149,798565,
